customer_id,plan,billing_cycle,industry,company_size,seats,monthly_revenue,acquisition_channel,region,signup_date,churned,churn_date,churn_reason,support_tickets_12mo,nps_score,feature_usage_pct,upgraded,signup_date_dt,churn_date_dt,tenure_months,risk_score
CUST-0033,Starter,Annual,Consulting,1-10,6,43.14,Organic Search,Latin America,2024-05-19,Yes,2024-07-29,No Longer Needed,11,3,30,No,2024-05-19,2024-07-29,2.3324572930354797,0.7509438775510203
CUST-0034,Enterprise,Annual,Education,11-50,35,2587.32,Referral,North America,2023-09-25,No,,,5,8,33,Yes,2023-09-25,,30.913272010512483,0.47497448979591833
CUST-0035,Starter,Monthly,Manufacturing,51-200,70,329.15,Organic Search,Latin America,2022-05-08,Yes,2022-07-24,Switched Competitor,0,6,30,No,2022-05-08,2022-07-24,2.5295663600525624,0.6601785714285714
CUST-0036,Professional,Monthly,Manufacturing,1-10,7,150.1,Referral,Latin America,2023-04-22,Yes,2023-12-24,Company Closed,10,6,16,No,2023-04-22,2023-12-24,8.081471747700395,0.7086224489795918
CUST-0037,Professional,Monthly,Technology,1-10,2,90.85,Direct Sales,North America,2024-06-14,Yes,2024-11-08,No Longer Needed,11,2,34,No,2024-06-14,2024-11-08,4.829172141918528,0.75125
CUST-0038,Professional,Monthly,Real Estate,1-10,5,126.4,Organic Search,Europe,2022-06-06,Yes,2022-08-11,Budget Cuts,6,1,30,No,2022-06-06,2022-08-11,2.1681997371879107,0.8115816326530613
CUST-0039,Business,Annual,Retail,51-200,30,904.95,Organic Search,Asia Pacific,2024-05-02,No,,,4,9,71,Yes,2024-05-02,,23.68593955321945,0.2830357142857143
CUST-0040,Business,Annual,Media,11-50,24,752.72,Direct Sales,Asia Pacific,2023-05-17,No,,,9,2,76,No,2023-05-17,,35.21681997371879,0.42326530612244895
CUST-0041,Starter,Monthly,Education,51-200,53,255.2,Referral,Asia Pacific,2022-12-21,Yes,2023-05-19,Poor Support,4,5,45,No,2022-12-21,2023-05-19,4.894875164257556,0.6059948979591837
CUST-0042,Starter,Monthly,Real Estate,51-200,34,172.55,Partner,Europe,2025-01-04,No,,,9,2,73,No,2025-01-04,,15.571616294349539,0.5145408163265306
CUST-0043,Professional,Annual,Manufacturing,1-10,2,77.22,Paid Ads,Europe,2022-02-20,No,,,9,9,20,No,2022-02-20,,50.03285151116951,0.43573979591836737
CUST-0044,Professional,Annual,Legal,1-10,2,77.22,Social Media,North America,2022-04-27,Yes,2022-08-02,Price Too High,7,6,20,No,2022-04-27,2022-08-02,3.1865965834428382,0.7076275510204082
CUST-0045,Starter,Monthly,Retail,11-50,7,55.1,Social Media,Latin America,2025-09-10,No,,,12,4,67,No,2025-09-10,,7.391590013140604,0.5163010204081633
CUST-0046,Professional,Monthly,Finance,1-10,4,114.55,Paid Ads,North America,2023-07-07,Yes,2024-02-28,Missing Features,1,6,42,No,2023-07-07,2024-02-28,7.752956636005256,0.5798979591836735
CUST-0047,Business,Monthly,Media,1-10,5,318.4,Partner,North America,2023-01-17,Yes,2025-06-13,No Longer Needed,15,4,46,No,2023-01-17,2025-06-13,28.843626806833115,0.5380102040816327
CUST-0048,Business,Annual,Education,1-10,4,245.27,Referral,Europe,2022-04-18,Yes,2022-07-12,Budget Cuts,4,5,16,No,2022-04-18,2022-07-12,2.7923784494086727,0.759158163265306
CUST-0049,Professional,Monthly,Real Estate,51-200,36,493.75,Partner,Asia Pacific,2022-05-18,Yes,2022-08-27,Poor Support,1,6,26,No,2022-05-18,2022-08-27,3.3180026281208934,0.6771173469387755
CUST-0050,Starter,Annual,Healthcare,1-10,7,46.83,Organic Search,North America,2022-06-22,Yes,2024-06-30,Price Too High,2,3,38,No,2022-06-22,2024-06-30,24.277266754270695,0.6257397959183674
CUST-0051,Professional,Monthly,Consulting,51-200,58,754.45,Partner,Europe,2022-12-27,Yes,2023-04-14,Price Too High,10,3,29,No,2022-12-27,2023-04-14,3.54796320630749,0.7512244897959184
CUST-0052,Starter,Monthly,Healthcare,201-500,138,624.95,Referral,North America,2025-03-16,Yes,2025-07-15,Budget Cuts,0,1,38,No,2025-03-16,2025-07-15,3.9750328515111693,0.7645663265306123
CUST-0053,Starter,Monthly,Manufacturing,1-10,4,42.05,Organic Search,North America,2025-04-03,Yes,2025-07-04,Price Too High,1,2,43,No,2025-04-03,2025-07-04,3.0223390275952693,0.713265306122449
CUST-0054,Professional,Annual,Healthcare,201-500,82,883.02,Social Media,North America,2024-06-23,No,,,4,8,81,No,2024-06-23,,21.97766097240473,0.2696683673469388
CUST-0055,Business,Monthly,Manufacturing,1-10,7,378.1,Organic Search,North America,2022-04-13,Yes,2024-09-16,Missing Features,6,2,21,No,2022-04-13,2024-09-16,29.139290407358736,0.7218622448979592
CUST-0056,Business,Monthly,Technology,11-50,14,587.05,Paid Ads,North America,2024-12-23,Yes,2025-11-15,Missing Features,3,2,37,No,2024-12-23,2025-11-15,10.74244415243101,0.7132908163265306
CUST-0057,Professional,Annual,Healthcare,11-50,34,399.54,Referral,North America,2024-07-12,Yes,2025-08-05,No Longer Needed,1,1,10,No,2024-07-12,2025-08-05,12.779237844940866,0.8703826530612244
CUST-0058,Starter,Monthly,Real Estate,201-500,48,233.45,Referral,Europe,2022-09-10,Yes,2023-03-17,Price Too High,2,1,12,No,2022-09-10,2023-03-17,6.176084099868594,0.8860204081632652
CUST-0059,Professional,Annual,Healthcare,11-50,28,339.11,Social Media,North America,2023-12-30,Yes,2024-10-10,Missing Features,5,1,13,No,2023-12-30,2024-10-10,9.362680683311432,0.8686479591836735
CUST-0060,Professional,Monthly,Finance,51-200,59,766.3,Partner,Asia Pacific,2024-07-30,Yes,2024-09-07,Switched Competitor,12,1,45,No,2024-07-30,2024-09-07,1.281208935611038,0.7400255102040817
CUST-0061,Business,Monthly,Legal,51-200,53,1751.2,Referral,Europe,2022-03-25,Yes,2023-04-06,Switched Competitor,13,5,11,No,2022-03-25,2023-04-06,12.3850197109067,0.7469132653061225
CUST-0062,Professional,Monthly,Finance,11-50,21,316.0,Paid Ads,North America,2022-10-01,Yes,2024-04-13,Switched Competitor,1,3,16,No,2022-10-01,2024-04-13,18.396846254927727,0.7585714285714286
CUST-0063,Enterprise,Annual,Retail,11-50,18,1505.73,Organic Search,North America,2025-08-21,No,,,3,7,61,No,2025-08-21,,8.04862023653088,0.45375000000000004
CUST-0064,Professional,Annual,Retail,51-200,51,570.77,Direct Sales,Asia Pacific,2022-10-02,No,,,1,10,33,No,2022-10-02,,42.67411300919842,0.36931122448979586
CUST-0065,Starter,Monthly,Manufacturing,201-500,60,285.65,Direct Sales,North America,2022-11-12,Yes,2022-11-20,Poor Support,13,3,46,No,2022-11-12,2022-11-20,0.2628120893561104,0.6789795918367347
CUST-0066,Starter,Annual,Education,51-200,55,224.31,Organic Search,North America,2024-06-28,Yes,2024-07-21,Poor Support,12,1,12,No,2024-06-28,2024-07-21,0.7555847568988173,0.9070663265306123
CUST-0067,Business,Annual,Media,1-10,7,321.38,Paid Ads,North America,2023-09-28,No,,,4,8,30,No,2023-09-28,,30.814717477003942,0.4903571428571428
CUST-0068,Professional,Annual,Education,1-10,1,67.15,Referral,Asia Pacific,2025-12-02,No,,,7,3,29,No,2025-12-02,,4.664914586070959,0.7468877551020408
CUST-0069,Starter,Annual,Media,1-10,2,28.35,Organic Search,Europe,2023-07-30,Yes,2024-09-17,Missing Features,1,2,25,No,2023-07-30,2024-09-17,13.633377135348226,0.7620663265306122
CUST-0070,Business,Monthly,Technology,51-200,64,2079.55,Organic Search,North America,2022-08-25,Yes,2022-08-27,No Longer Needed,3,1,28,No,2022-08-25,2022-08-27,0.0657030223390276,0.8297448979591837
CUST-0071,Enterprise,Monthly,Retail,201-500,58,4765.45,Organic Search,Europe,2022-01-22,No,,,4,10,42,No,2022-01-22,,50.98554533508541,0.29204081632653067
CUST-0072,Starter,Monthly,Consulting,51-200,31,159.5,Organic Search,North America,2024-06-21,No,,,7,10,81,No,2024-06-21,,22.043363994743757,0.20941326530612242
CUST-0073,Professional,Monthly,Healthcare,201-500,106,1323.25,Referral,North America,2025-05-20,No,,,7,2,87,Yes,2025-05-20,,11.103810775295663,0.46188775510204083
CUST-0074,Starter,Monthly,Legal,51-200,42,207.35,Paid Ads,North America,2023-12-14,Yes,2024-12-03,Company Closed,12,3,10,No,2023-12-14,2024-12-03,11.662286465177397,0.8147193877551021
CUST-0075,Professional,Monthly,Retail,1-10,6,138.25,Paid Ads,North America,2022-12-30,No,,,5,1,49,No,2022-12-30,,39.7503285151117,0.5706632653061224
CUST-0076,Professional,Annual,Healthcare,201-500,56,621.14,Referral,Europe,2024-03-03,No,,,2,5,87,No,2024-03-03,,25.657030223390276,0.3153826530612245
CUST-0077,Enterprise,Monthly,Media,51-200,52,4316.35,Partner,Europe,2023-05-01,No,,,4,7,88,No,2023-05-01,,35.74244415243101,0.2112244897959184
CUST-0078,Starter,Annual,Media,51-200,24,109.69,Partner,Europe,2023-02-21,Yes,2025-09-09,Budget Cuts,2,4,16,No,2023-02-21,2025-09-09,30.584756898817343,0.68125
CUST-0079,Business,Monthly,Healthcare,51-200,40,1363.15,Social Media,North America,2024-01-06,No,,,0,4,29,No,2024-01-06,,27.529566360052563,0.6281122448979591
CUST-0080,Starter,Monthly,Healthcare,11-50,5,46.4,Organic Search,Asia Pacific,2025-03-05,Yes,2025-04-06,No Longer Needed,0,6,20,No,2025-03-05,2025-04-06,1.0512483574244416,0.7159183673469388
CUST-0081,Business,Annual,Finance,11-50,24,752.72,Organic Search,Asia Pacific,2024-01-17,No,,,2,6,86,No,2024-01-17,,27.16819973718791,0.284515306122449
CUST-0082,Starter,Annual,Technology,1-10,1,24.65,Social Media,Europe,2024-06-19,Yes,2025-06-04,Budget Cuts,14,2,22,No,2024-06-19,2025-06-04,11.498028909329829,0.7853571428571429
CUST-0083,Professional,Monthly,Education,1-10,5,126.4,Paid Ads,Asia Pacific,2025-09-12,No,,,6,9,56,No,2025-09-12,,7.3258869908015765,0.42155612244897955
CUST-0084,Business,Monthly,Real Estate,201-500,71,2288.5,Referral,Europe,2023-01-21,Yes,2024-01-17,Missing Features,6,5,29,No,2023-01-21,2024-01-17,11.85939553219448,0.6589540816326531
CUST-0085,Starter,Monthly,Real Estate,11-50,21,116.0,Partner,Latin America,2025-01-04,Yes,2025-03-14,Company Closed,13,2,42,No,2025-01-04,2025-03-14,2.266754270696452,0.7211989795918368
CUST-0086,Business,Monthly,Technology,11-50,27,975.1,Partner,Europe,2024-07-06,No,,,9,7,35,No,2024-07-06,,21.55059132720105,0.531326530612245
CUST-0087,Professional,Annual,Education,51-200,17,228.31,Direct Sales,Europe,2024-05-09,No,,,2,4,88,No,2024-05-09,,23.45597897503285,0.3489285714285714
CUST-0088,Starter,Monthly,Consulting,51-200,76,355.25,Referral,Asia Pacific,2024-12-15,Yes,2025-05-29,Budget Cuts,7,3,20,No,2024-12-15,2025-05-29,5.4204993429697765,0.788954081632653
CUST-0089,Professional,Annual,Healthcare,201-500,75,812.51,Organic Search,Asia Pacific,2022-11-21,Yes,2023-10-01,Poor Support,12,6,20,No,2022-11-21,2023-10-01,10.315374507227332,0.6799489795918368
CUST-0090,Business,Annual,Healthcare,51-200,67,1843.73,Paid Ads,Europe,2022-03-28,Yes,2022-11-20,Switched Competitor,7,1,36,No,2022-03-28,2022-11-20,7.7858081471747695,0.7597704081632654
CUST-0091,Enterprise,Annual,Media,11-50,20,1632.98,Referral,North America,2024-10-31,Yes,2025-02-22,Company Closed,13,2,42,No,2024-10-31,2025-02-22,3.7450722733245727,0.7154591836734694
CUST-0092,Starter,Monthly,Consulting,1-10,5,46.4,Partner,Asia Pacific,2025-03-16,No,,,7,7,41,No,2025-03-16,,13.23915900131406,0.5335969387755103
CUST-0093,Starter,Monthly,Manufacturing,1-10,7,55.1,Direct Sales,North America,2025-10-30,No,,,2,10,63,No,2025-10-30,,5.7490144546649145,0.3626785714285714
CUST-0094,Business,Monthly,Education,500+,234,7154.05,Partner,North America,2022-07-29,Yes,2025-09-30,Poor Support,4,6,14,No,2022-07-29,2025-09-30,38.07490144546649,0.6021683673469388
CUST-0095,Professional,Monthly,Finance,11-50,14,233.05,Paid Ads,North America,2022-10-25,Yes,2023-04-09,Budget Cuts,5,6,11,No,2022-10-25,2023-04-09,5.45335085413929,0.7438265306122449
CUST-0096,Starter,Monthly,Legal,11-50,15,89.9,Direct Sales,North America,2023-08-31,Yes,2023-09-26,Price Too High,12,1,12,No,2023-08-31,2023-09-26,0.8541392904073587,0.9066836734693877
CUST-0097,Enterprise,Monthly,Education,51-200,31,2744.5,Organic Search,North America,2023-10-16,No,,,1,1,22,No,2023-10-16,,30.223390275952692,0.7426530612244898
CUST-0098,Professional,Annual,Consulting,1-10,8,137.66,Organic Search,North America,2025-11-28,Yes,2025-12-14,Company Closed,10,6,43,No,2025-11-28,2025-12-14,0.5256241787122208,0.6029591836734695
CUST-0099,Enterprise,Monthly,Manufacturing,11-50,6,873.25,Organic Search,Asia Pacific,2022-08-19,No,,,3,4,70,No,2022-08-19,,44.119579500657025,0.3586989795918368
CUST-0100,Business,Monthly,Real Estate,11-50,17,676.6,Paid Ads,Europe,2023-06-11,No,,,1,4,17,No,2023-06-11,,34.39553219448094,0.6614540816326531
CUST-0101,Starter,Monthly,Legal,1-10,2,33.35,Organic Search,North America,2024-12-03,Yes,2025-01-28,Company Closed,6,3,15,No,2024-12-03,2025-01-28,1.8396846254927726,0.8278571428571428
CUST-0102,Professional,Monthly,Consulting,500+,62,801.85,Referral,Latin America,2023-11-03,No,,,11,7,88,No,2023-11-03,,29.632063074901446,0.23494897959183675
CUST-0103,Professional,Monthly,Consulting,1-10,4,114.55,Social Media,Europe,2024-04-24,No,,,0,6,32,No,2024-04-24,,23.94875164257556,0.567015306122449
CUST-0104,Business,Monthly,Education,11-50,17,676.6,Organic Search,Europe,2024-11-30,Yes,2025-05-31,Budget Cuts,12,1,30,No,2024-11-30,2025-05-31,5.978975032851511,0.7967857142857143
CUST-0105,Professional,Monthly,Manufacturing,201-500,42,564.85,Paid Ads,Latin America,2023-12-21,No,,,6,5,53,Yes,2023-12-21,,28.055190538764784,0.4760714285714286
CUST-0106,Starter,Monthly,Retail,1-10,1,29.0,Referral,Asia Pacific,2024-11-18,Yes,2025-02-24,Poor Support,4,3,20,No,2024-11-18,2025-02-24,3.219448094612352,0.7975
CUST-0107,Business,Monthly,Legal,500+,139,4318.3,Referral,Europe,2022-08-18,Yes,2024-05-09,No Longer Needed,11,2,24,No,2022-08-18,2024-05-09,20.69645203679369,0.7396428571428572
CUST-0108,Business,Annual,Consulting,51-200,30,904.95,Organic Search,North America,2025-08-16,No,,,11,5,48,No,2025-08-16,,8.21287779237845,0.5781122448979592
CUST-0109,Business,Annual,Finance,51-200,16,549.74,Organic Search,Asia Pacific,2022-11-03,No,,,0,9,57,No,2022-11-03,,41.62286465177398,0.28339285714285717
CUST-0110,Professional,Annual,Retail,201-500,58,641.28,Referral,Europe,2023-10-02,Yes,2025-05-01,Missing Features,12,3,38,No,2023-10-02,2025-05-01,18.95532194480946,0.6464030612244898
CUST-0111,Starter,Annual,Consulting,11-50,5,39.44,Partner,Europe,2022-12-22,Yes,2023-11-12,Switched Competitor,15,5,29,No,2022-12-22,2023-11-12,10.676741130091983,0.663545918367347
CUST-0112,Professional,Monthly,Finance,201-500,42,564.85,Direct Sales,North America,2022-01-27,Yes,2022-05-07,Budget Cuts,7,2,40,No,2022-01-27,2022-05-07,3.2851511169513796,0.7272448979591837
CUST-0113,Business,Monthly,Consulting,11-50,20,766.15,Referral,North America,2023-06-10,Yes,2023-10-31,Company Closed,3,4,22,No,2023-06-10,2023-10-31,4.697766097240473,0.7517602040816327
CUST-0114,Starter,Monthly,Technology,500+,235,1046.9,Referral,Asia Pacific,2022-06-06,Yes,2022-06-19,Company Closed,11,1,23,No,2022-06-06,2022-06-19,0.42706964520367935,0.8533418367346939
CUST-0115,Starter,Annual,Legal,201-500,31,135.57,Organic Search,Latin America,2024-08-28,No,,,0,5,75,No,2024-08-28,,19.80946123521682,0.39808673469387756
CUST-0116,Professional,Monthly,Technology,51-200,16,256.75,Organic Search,North America,2025-09-03,No,,,0,2,25,No,2025-09-03,,7.621550591327201,0.7854081632653062
CUST-0117,Professional,Annual,Media,51-200,25,308.89,Paid Ads,Asia Pacific,2024-03-13,Yes,2025-06-14,Budget Cuts,0,2,28,No,2024-03-13,2025-06-14,15.045992115637318,0.7415816326530612
CUST-0118,Professional,Monthly,Manufacturing,11-50,17,268.6,Partner,Europe,2024-12-31,Yes,2025-03-14,No Longer Needed,0,5,25,No,2024-12-31,2025-03-14,2.3981603153745072,0.7156887755102042
CUST-0119,Professional,Monthly,Education,11-50,28,398.95,Organic Search,North America,2022-11-01,No,,,9,8,44,No,2022-11-01,,41.68856767411301,0.37813775510204084
CUST-0120,Professional,Annual,Finance,1-10,2,77.22,Partner,North America,2022-03-26,No,,,3,4,22,No,2022-03-26,,48.91590013140604,0.580076530612245
CUST-0121,Starter,Annual,Media,11-50,32,139.27,Organic Search,North America,2025-07-18,No,,,6,2,81,No,2025-07-18,,9.165571616294349,0.4994132653061224
CUST-0122,Business,Monthly,Manufacturing,51-200,72,2318.35,Paid Ads,North America,2024-07-07,No,,,4,7,50,Yes,2024-07-07,,21.517739816031536,0.4564540816326531
CUST-0123,Starter,Annual,Healthcare,51-200,26,117.09,Organic Search,Asia Pacific,2024-07-13,No,,,4,4,48,No,2024-07-13,,21.320630749014455,0.557219387755102
CUST-0124,Professional,Monthly,Legal,51-200,71,908.5,Referral,North America,2022-12-15,No,,,2,5,31,No,2022-12-15,,40.2431011826544,0.53875
CUST-0125,Business,Annual,Legal,1-10,4,245.27,Paid Ads,Europe,2025-03-12,No,,,11,6,36,Yes,2025-03-12,,13.370565045992116,0.5880867346938775
CUST-0126,Professional,Monthly,Healthcare,11-50,20,304.15,Organic Search,North America,2023-06-14,No,,,1,5,40,Yes,2023-06-14,,34.2969776609724,0.5168367346938775
CUST-0127,Starter,Monthly,Consulting,11-50,27,142.1,Paid Ads,North America,2024-12-10,Yes,2025-01-15,Company Closed,3,3,38,No,2024-12-10,2025-01-15,1.1826544021024967,0.7154081632653062
CUST-0128,Starter,Monthly,Retail,201-500,46,224.75,Paid Ads,Asia Pacific,2022-12-30,Yes,2023-04-24,No Longer Needed,10,2,33,No,2022-12-30,2023-04-24,3.7779237844940865,0.7603316326530611
CUST-0129,Starter,Monthly,Finance,51-200,31,159.5,Referral,North America,2022-08-24,Yes,2022-09-27,Missing Features,10,4,22,No,2022-08-24,2022-09-27,1.1169513797634691,0.7656632653061225
CUST-0130,Professional,Monthly,Manufacturing,1-10,8,161.95,Organic Search,Latin America,2025-07-04,No,,,6,1,68,No,2025-07-04,,9.625492772667542,0.5926275510204082
CUST-0131,Business,Annual,Legal,11-50,6,296.01,Partner,Latin America,2025-01-02,No,,,11,9,36,No,2025-01-02,,15.637319316688567,0.48928571428571427
CUST-0132,Starter,Annual,Consulting,1-10,8,50.53,Social Media,North America,2025-10-20,No,,,7,3,90,No,2025-10-20,,6.077529566360052,0.4364030612244898
CUST-0133,Enterprise,Monthly,Consulting,1-10,1,499.0,Referral,North America,2025-03-11,No,,,7,8,22,No,2025-03-11,,13.403416557161629,0.5979591836734695
CUST-0134,Business,Annual,Manufacturing,51-200,71,1945.22,Referral,Latin America,2022-02-15,Yes,2025-07-10,Missing Features,11,5,31,No,2022-02-15,2025-07-10,40.76872536136662,0.5367091836734694
CUST-0135,Professional,Monthly,Retail,11-50,25,363.4,Paid Ads,Asia Pacific,2022-08-16,No,,,5,9,85,No,2022-08-16,,44.21813403416557,0.13331632653061223
CUST-0136,Professional,Annual,Technology,500+,106,1124.76,Partner,North America,2022-03-06,No,,,4,4,87,No,2022-03-06,,49.57293035479632,0.25252551020408165
CUST-0137,Starter,Annual,Real Estate,11-50,9,54.23,Organic Search,North America,2023-05-07,Yes,2024-02-16,Poor Support,4,2,41,No,2023-05-07,2024-02-16,9.362680683311432,0.6986479591836735
CUST-0138,Starter,Monthly,Healthcare,11-50,21,116.0,Direct Sales,Europe,2022-08-01,Yes,2022-09-08,Price Too High,1,3,19,No,2022-08-01,2022-09-08,1.2483574244415243,0.8101530612244898
CUST-0139,Starter,Monthly,Finance,11-50,5,46.4,Referral,North America,2025-01-06,Yes,2025-12-19,Budget Cuts,7,3,22,No,2025-01-06,2025-12-19,11.399474375821287,0.7557397959183674
CUST-0140,Starter,Monthly,Retail,201-500,131,594.5,Partner,North America,2022-02-21,Yes,2022-07-22,Company Closed,9,3,16,No,2022-02-21,2022-07-22,4.9605781865965834,0.8107397959183673
CUST-0141,Business,Annual,Legal,51-200,18,600.48,Paid Ads,North America,2024-03-17,No,,,8,4,33,No,2024-03-17,,25.19710906701708,0.6171683673469387
CUST-0142,Starter,Annual,Education,51-200,28,124.48,Social Media,North America,2024-08-30,No,,,8,3,32,No,2024-08-30,,19.743758212877793,0.6733418367346938
CUST-0143,Business,Annual,Finance,1-10,7,321.38,Organic Search,North America,2025-09-28,No,,,12,1,43,No,2025-09-28,,6.800262812089356,0.7285969387755102
CUST-0144,Starter,Monthly,Real Estate,1-10,6,50.75,Organic Search,North America,2023-04-02,Yes,2023-07-22,Missing Features,3,1,44,No,2023-04-02,2023-07-22,3.6465177398160313,0.7358418367346939
CUST-0145,Professional,Annual,Finance,11-50,8,137.66,Direct Sales,North America,2023-12-17,Yes,2024-11-17,Poor Support,3,3,30,No,2023-12-17,2024-11-17,11.038107752956636,0.7171428571428571
